MTHREE, Logon, 108=30,       
MS, Logon, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, New Order Single, AAPL,  1276.37, 2,  10=0252,  21=2,
MS, Execution Report, AAPL, 11360, 1276.37, 2, algo20220418202933, 0, exec20220418202933, 1276.37,
MTHREE, 35=F, 41=algo20220418202933,       11=C_algo20220418202933,
MS, Execution Report, AAPL, 11360, exec20220418202933, 1276.37, algo20220418202933, 0, 41=algo20220418202933, 150=6,
MS, Execution Report, 151=9088, 11360, exec20220418202933, 2, algo20220418202933, 0, 41=algo20220418202933, 0,
MTHREE, New Order Single, MSFT,  59.89, 2,  10=0252,  21=2,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 0, exec20220418202935, 59.89,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 499, exec20220418202935, 59.89,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 499, exec20220418202936, 59.89,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 499, exec20220418202937, 59.89,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 499, exec20220418202938, 59.89,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 499, exec20220418202940, 59.89,
MTHREE, New Order Single, AMZN,  133.47, 1,  10=0252,  21=2,
MS, Execution Report, AMZN, 3642, 133.47, 1, algo20220418202940, 0, exec20220418202940, 133.47,
MS, Execution Report, AMZN, 3642, 133.47, 1, algo20220418202940, 910, exec20220418202940, 133.47,
MS, Execution Report, AMZN, 3642, 133.47, 1, algo20220418202940, 910, exec20220418202941, 133.47,
MS, Execution Report, AMZN, 3642, 133.47, 1, algo20220418202940, 910, exec20220418202942, 133.47,
MS, Execution Report, AMZN, 3642, 133.47, 1, algo20220418202940, 912, exec20220418202944, 133.47,
